File name	Nb particles	E (MeV)	dE(1-sigma) (MeV)	dE(1-sigma) (%)	X(1-sigma) (mm)	Y(1-sigma) (mm)	Theta(1-sigma) (mrad)	Phi(1-sigma) (mrad)	Xavg (mm)	 Yavg (mm)	 Weight avg
./output/IsocenterPhS_GTRY0.root	166340	200	4.00262	2.00131	0.905294	1.80776	0.998122	1.99217	-0.00403373	-0.00588507	1
./output/IsocenterPhS_GTRY180.root	166776	199.993	1.99755	0.998812	1.09545	1.80987	1.00521	1.99658	-0.00137569	0.00385086	1
./output/IsocenterPhS_GTRY270.root	332866	199.954	2.00077	1.00061	1.09389	2.20629	1.00776	2.00324	0.00281069	-0.00261429	40002.9
./output/IsocenterPhS_GTRY90.root	166792	200.006	2.00032	1.00013	0.904299	2.22073	0.998283	2.00287	0.000578151	-0.00635744	1
./output/PhS-X0Y100_GTRY0.root	500414	199.994	4.00808	2.0041	0.906931	1.79873	1.00028	2.00407	0.000160672	-0.00733965	1
./output/PhS-X0Y100_GTRY180.root	500170	199.995	1.99614	0.998096	1.0927	1.80341	1.00008	2.00176	-0.00195221	-0.0117061	1
./output/PhS-X0Y100_GTRY270.root	334181	199.971	1.99779	0.999037	1.09224	2.19634	1.00361	2.00625	0.00222143	-0.00659416	119998
./output/PhS-X0Y100_GTRY90.root	500109	199.998	2.00043	1.00023	0.904677	2.19866	0.997826	2.00396	-0.00123178	-0.00671319	1
./output/PhS-X50Y0_GTRY0.root	333246	199.997	3.98967	1.99486	0.905127	1.79309	1.00117	1.99926	-0.00358414	0.00426211	1
./output/PhS-X50Y0_GTRY180.root	333078	199.997	1.99638	0.998203	1.09358	1.80588	1.00222	1.99997	-0.00150712	0.00085417	1
./output/PhS-X50Y0_GTRY270.root	333151	199.964	1.99709	0.998726	1.09381	2.19449	1.00838	1.997	-0.00640132	0.00451707	79999.6
./output/PhS-X50Y0_GTRY90.root	333104	199.998	2.00098	1.0005	0.905509	2.20706	1.00181	1.9943	-0.00359919	-0.00320368	1
